Season,Episode,Title,Year of Release,IMDB Rating,Arco
2,65,Sakuretsu Santouryuu! Zoro VS Baroque Works!,2001,8.3,Whiskey Peak Arc
2,66,Shinken Shoubu! Luffy VS Zoro Nazo no Daikettou!,2001,8.1,Whiskey Peak Arc
2,67,Oujo Vivi o Todokero! Luffy Kaizoku Dan Shukkou,2001,7.9,Whiskey Peak Arc
2,68,Ganbare Coby! Coby-Meppo Kaigun Funtou Ki,2001,6.9,Koby and Helmeppo Arc
2,69,Coby-Meppo no Ketsui! Garp Chuujou no Oyagokoro,2001,6.9,Koby and Helmeppo Arc
2,70,Taiko no Shima! Little Garden ni Hisomu Kage!,2001,7.3,Little Garden Arc
2,71,Dekkai Kettou! Kyojin Dorry to Brogy,2001,7.5,Little Garden Arc
2,72,Luffy Ikaru! Seinaru Kettou ni Hiretsu na Wana!,2001,7.4,Little Garden Arc
2,73,Brogy Shouri no Goukyuu! Elbaf no Kecchaku,2001,7.5,Little Garden Arc
2,74,Ma no Candle! Munen no Namida to Ikari no Namida,2001,7.7,Little Garden Arc
2,75,Luffy o Osou Maryoku! Colors Trap,2001,7.8,Little Garden Arc
2,76,Iza Hangeki! Usopp no Kiten to Kaenboshi!,2001,7.8,Little Garden Arc
2,77,Saraba Kyojin no Shima! Arabasuta o Mezase,2001,7.6,Little Garden Arc
3,78,Nami ga Byouki? Umi ni Furu Yuki no Mukou ni!,2001,7.4,Drum Island Arc
3,79,Kishuu! Bliking Gou to Blik no Wapol,2001,7.7,Drum Island Arc
3,80,Isha no Inai Shima? Na mo Naki Kuni no Bouken!,2001,7.9,Drum Island Arc
3,81,Happy kai? Majo to Yobareta Isha!,2001,7.8,Drum Island Arc
3,82,Dolton no Kakugo! Wapol Gundan Shima ni Jouriku,2001,7.8,Drum Island Arc
3,83,Yuki no Sumu Shima! Drum-Rocky o Nobore!,2001,8.1,Drum Island Arc
3,84,Tonakai wa Aoppana! Chopper no Himitsu,2001,8.0,Drum Island Arc
3,85,Hamidashi Mono no Yume! Yabuisha Hiluluk!,2001,8.8,Drum Island Arc
3,86,Hiluluk no Sakura to Uketsugareyuku Ishi!,2001,9.3,Drum Island Arc
3,87,Versus Wapol Gundan! Bakubaku no Mi no Nouryoku!,2001,8.1,Drum Island Arc
3,88,Zoan-kei Akuma no Mi! Chopper Nanadan Henkei,2001,7.9,Drum Island Arc
3,89,Oukoku no Shihai Owaru Toki! Shinnen no Hata wa Eien ni,2001,7.9,Drum Island Arc
3,90,Hiluluk no Sakura! Drum Rocky no Kiseki,2001,8.9,Drum Island Arc
3,91,Sayonara Drum-tou! Boku wa Umi e Deru!,2001,8.1,Drum Island Arc
4,92,Arabasta no Eiyuu to Senjou no Ballerina,2001,7.8,Alabasta Arc
4,93,Iza Sabaku no Kuni e! Ame o Yobu Kona to Hanrangun,2001,7.3,Alabasta Arc
4,94,Gouketsu-tachi no Saikai! Yatsu no Na wa Hiken no Ace,2001,9.0,Alabasta Arc
4,95,Ace to Luffy! Atsuki Omoi to Kyoudai no Kizuna,2002,8.3,Alabasta Arc
4,96,Midori no Machi Erumaru to Kung Fu Jugon!,2002,7.4,Alabasta Arc
4,97,Suna no Kuni no Bouken! Ennetsu no Daichi ni Sumu Mamono,2002,7.5,Alabasta Arc
4,98,Sabaku no Kaizokudan Toujou! Jiyuu ni Ikiru Otoko-tachi,2002,7.2,Alabasta Arc
4,99,Nisemono no Iji! Kokoro no Hanrangun Kamyu!,2002,7.1,Alabasta Arc
4,100,Hanrangun Senshi Kouza! Vivi ni Chikatta Yume!,2002,7.6,Alabasta Arc
4,101,Kagerou no Kettou! Ace vs Otoko Scorpion,2002,6.9,Alabasta Arc
4,102,Iseki to Mayoigo! Vivi to Nakama to Kuni no Katachi,2002,7.1,Alabasta Arc
4,103,Spiders Cafe ni 8-ji Teki Kanbu Shuugou,2002,7.5,Alabasta Arc
4,104,Luffy Tai Vivi! Nakama ni Kakeru Namida no Chikai,2002,8.0,Alabasta Arc
4,105,Alabasta Sensen! Yume no Machi Rainbase,2002,7.9,Alabasta Arc
4,106,Zettai Zetsumei no Wana! Rain Dinners Totsunyuu,2002,8.2,Alabasta Arc
4,107,Utopia Sakusen Hatsudou! Ugokidashita Uneri,2002,8.1,Alabasta Arc
4,108,Kyoufu no Bananawani to Mr. Prince,2002,8.2,Alabasta Arc
4,109,Gyakuten Dai Dasshutsu e no Kagi! Doru-Doru Ball!,2002,8.7,Alabasta Arc
4,110,Nasake Muyou no Shitou! Luffy vs Crocodile,2002,9.1,Alabasta Arc
4,111,Kiseki e no Shissou! Arabasta Doubutsu Land,2002,7.9,Alabasta Arc
4,112,Hanrangun Tai Kokuougun! Kessen wa Alubarna!,2002,8.1,Alabasta Arc
4,113,Nageki no Alubarna! Gekitou Carue Taichou!,2002,7.9,Alabasta Arc
4,114,Nakama no Yume ni Chikau! Kettou Mogurazuka 4-bangai,2002,8.1,Alabasta Arc
4,115,Honjitsu Daikoukai! Mane-Mane Montage!,2002,8.1,Alabasta Arc
4,116,Nami ni Henshin! Bon Clay Renpatsu Ballet Kenpou,2002,8.1,Alabasta Arc
4,117,Nami no Senpuu Chuuihou! Clima Takt Sakuretsu,2002,8.0,Alabasta Arc
4,118,Ouke ni Tsutawaru Himitsu! Kodai Heiki Pluton,2002,7.9,Alabasta Arc
4,119,Gouken no Gokui! Koutetsu o Kiru Chikara to Mono no Kokyuu,2002,9.1,Alabasta Arc
4,120,Tatakai wa Owatta! Kooza ga Kakageta Shiroi Hata,2002,8.1,Alabasta Arc
4,121,Vivi no Koe no Yukue! Hero wa Maiorita!,2002,8.7,Alabasta Arc
4,122,Suna Wani to Mizu Luffy! Kettou Dai 2 Round,2002,9.0,Alabasta Arc
4,123,Wanippoi! Ouke no Haka e Hashire Luffy!,2002,8.3,Alabasta Arc
4,124,Akumu no Toki Semaru! Koko wa Sunasunadan Himitsu Kichi,2002,8.2,Alabasta Arc
4,125,Idainaru Tsubasa! Waga Na wa Kuni no Shugoshin Pell,2002,9.0,Alabasta Arc
4,126,Koeteiku! Arabasta ni Ame ga Furu!,2002,9.5,Alabasta Arc
4,127,Buki yo Saraba! Kaizoku to Ikutsuka no Seigi,2002,8.2,Alabasta Arc
4,128,Kaizoku-tachi no Utage to Arabasta Dasshutsu Sakusen!,2002,8.2,Alabasta Arc
